symbol,name,exchange,category,price,crawled_date
X26,Công ty cổ phần 26,HOSE,Hàng tiêu dùng,24.1,2025-04-11
X77,Công ty Cổ phần Thành An 77,HOSE,Bất động sản và Xây dựng,0.3,2025-04-11
XDC,Công ty cổ phần Xây dựng Công trình Tân Cảng,HOSE,,65.0,2025-04-11
XDH,Công ty cổ phần Đầu tư Xây dưng Dân dụng Hà Nội,HOSE,Bất động sản và Xây dựng,12.7,2025-04-11
XHC,Công ty cổ phần Xuân Hòa Việt Nam,HOSE,Hàng tiêu dùng,18.8,2025-04-11
XLV,Công ty Cổ phần Xây lắp và Dịch vụ Sông Đà,HOSE,Bất động sản và Xây dựng,13.2,2025-04-11
XMC,Công ty cổ phần Đầu tư và Xây dựng Xuân Mai,HOSE,Bất động sản và Xây dựng,7.1,2025-04-11
XMD,Công ty cổ phần Xuân Mai - Đạo Tú ,HOSE,Bất động sản và Xây dựng,6.2,2025-04-11
XMP,CTCP Thủy điện Xuân Minh,HOSE,Năng lượng,17.2,2025-04-11
XPH,Công ty Cổ phần Xà phòng Hà Nội,HOSE,Hàng tiêu dùng,7.8,2025-04-11
YAN,CTCP Công nghệ và Tầm nhìn Yêu âm nhạc,UPCOM,Dịch vụ,0.0,2025-04-11
YBC,Công ty Cổ phần Xi măng và Khoáng sản Yên Bái,HOSE,Bất động sản và Xây dựng,18.0,2025-04-11
YBM,Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái,HOSE,Nguyên vật liệu,16.1,2025-04-11
YEG,Công ty Cổ phần Tập đoàn Yeah1,HOSE,Dịch vụ,11.55,2025-04-11
YTC,Công ty Cổ phần Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh,HOSE,Y tế,37.9,2025-04-11
